algorithm,time
Hashtable,98322
Hashtable,40541
Hashtable,40441
Hashtable,45746
Hashtable,46933
Hashtable,87024
Hashtable,59585
Hashtable,67438
Hashtable,58285
Hashtable,148485
Hashtable,47425
Hashtable,46376
Hashtable,45808
Hashtable,45111
Hashtable,44549
Hashtable,72905
Hashtable,74851
Hashtable,66878
Hashtable,145000
Hashtable,46883
Hashtable,45795
Hashtable,44855
Hashtable,71530
Hashtable,38064
Hashtable,38632
Hashtable,39000
Hashtable,39927
Hashtable,150154
Hashtable,47128
Hashtable,45888
Hashtable,44912
Hashtable,43911
Hashtable,43429
Hashtable,44464
Hashtable,49577
Hashtable,44607
